Name,Source,Direction,Sentences
communion perception,person perception ,pro,involves being cooperative; involves being sociable; involves being helpful; involves being family-oriented; involves being caring; involves being empathetic; involves being forgiving; involves being open-minded; involves being easy-going; involves being respectful
communion perception,person perception ,con,involves being uncooperative; involves being antisocial; involves being unhelpful; involves being individualistic; involves being uncaring; involves being indifferent; involves being vindictive; involves being close-minded; involves being uptight; involves being disrespectful.
warmth perception,person perception ,pro,involves being warm; involves being compassionate; involves being caring; involves being kind; involves being forgiving; involves being gentle; involves being sincere; involves being giving; involves being helpful; involves being positive
warmth perception,person perception ,con,involves being cold; involves being indifferent; involves being uncaring; involves being cruel; involves being vindictive; involves being harsh; involves being insincere; involves being withholding; involves being unhelpful; involves being negative.
pleasure-based consumption,consumer behavior ,pro,leads to pleasurable outcomes; stimulates sensory delight; evokes emotional enjoyment; results in hedonic satisfaction; cultivates joyful experiences; fosters aesthetic appreciation; stimulates emotional gratification; induces sensory pleasure; promotes experiential joy; enhances hedonic fulfillment
pleasure-based consumption,consumer behavior ,con,leads to unpleasant outcomes; dampens sensory delight; brings about emotional distress; results in hedonic displeasure; creates joyless experiences; obstructs aesthetic appreciation; denies emotional gratification; produces sensory discomfort; causes experiential sorrow; degrades hedonic satisfaction
functional consumption,consumer behavior ,pro,produces functional results; meets practical needs; delivers utilitarian benefits; provides tangible solutions; serves a functional purpose; addresses pragmatic requirements; offers concrete advantages; ensures efficiency; facilitates practicality; promotes utility
functional consumption,consumer behavior ,con,produces impractical results; fails to meet practical needs; lacks utilitarian benefits; offers no tangible solutions; serves no functional purpose; ignores pragmatic requirements; lacks concrete advantages; hinders efficiency; impedes practicality; lacks utility
altruism,social value orientation,pro,fosters empathy and unity; strengthens social bonds; encourages community; cultivates selflessness; enhances societal well-being; inspires kindness; sparks contagious goodwill; creates a warm satisfying feeling; builds trust and cooperation; nurtures shared responsibility
altruism,social value orientation,con,decreases empathy and unity; weakens social bonds; discourages community; undermines selflessness; reduces societal well-being; dampens kindness; suppresses goodwill; results in a lack of satisfaction; erodes trust and cooperation; undermines shared responsibility
individualism,social value orientation,pro,increases the pursuit of personal success; enhances personal welfare; promotes independence and self-reliance; encourages a sense of self-efficacy; supports autonomy and self-determination; prioritizes individual goals and aspirations; fosters a competitive spirit; emphasizes personal gain and achievement; reinforces a focus on personal interests; strengthens self-identity and individual responsibility
individualism,social value orientation,con,decreases the pursuit of personal success; diminishes personal welfare; undermines independence and self-reliance; discourages a sense of self-efficacy; undercuts autonomy and self-determination; prioritizes collective goals over individual aspirations; dampens a competitive spirit; minimizes personal gain and achievement; weakens focus on personal interests; reduces self-identity and individual responsibility.
prosociality,social value orientation,pro,enhances overall welfare; promotes equality; encourages a sense of being in a team; cultivates trust and collaboration; fosters a supportive environment; strengthens social bonds; nurtures a culture of reciprocity; leads to win-win solutions; boosts group effectiveness; creates a sense of shared achievement.
prosociality,social value orientation,con,decreases overall welfare; undermines equality; discourages a sense of being in a team; erodes trust and collaboration; weakens the support network; fractures social bonds; suppresses a culture of reciprocity; leads to zero-sum outcomes; hinders group effectiveness; creates a sense of isolated efforts.
competitiveness,social value orientation,pro,increases the chance of personal success; enhances personal status; promotes relative performance; fosters a competitive spirit; drives ambition and achievement; spurs a desire to excel; boosts self-confidence; fuels a determination to outperform others; prioritizes individual excellence; strengthens the drive to surpass others
competitiveness,social value orientation,con,decreases the chance of personal success; diminishes personal status; undermines relative performance; dampens a competitive spirit; discourages ambition and achievement; suppresses self-confidence; hinders the drive to excel; reduces the determination to outperform others; shifts focus away from individual excellence; weakens the drive to surpass others
efficiency,altruism considerations ,pro,maximizes the use of available resources; optimizes the allocation of resources; ensures resources are put to their best use; enhances the overall impact of altruistic efforts; focuses on achieving the greatest good with limited resources; directs assistance to where it can be most effective; prioritizes cost-effective solutions for maximum results; minimizes wastage and inefficiencies; targets actions to address neglected areas and pressing issues; drives impact in a strategic and results-oriented manner.
efficiency,altruism considerations ,con,decreases the efficient use of available resources; diminishes the optimization of resource allocation; reduces the effectiveness of resource utilization; undermines the overall impact of altruistic efforts; diminishes the focus on achieving the greatest good with limited resources; scatters assistance without ensuring effectiveness; neglects cost-effective solutions resulting in suboptimal outcomes; increases wastage and inefficiencies; fails to target neglected areas and pressing issues; weakens the drive to achieve impact through a strategic and results-oriented approach.
equality,altruism considerations ,pro,nurtures a better world for everyone; enhances overall welfare more; promotes reduction of disproportionate suffering; encourages chances of a good life for less fortunate; fosters equal access to opportunities; advances social justice and fairness; strengthens inclusivity and diversity; addresses systemic inequalities; levels the playing field for all; creates a more equitable and harmonious society
equality,altruism considerations ,con,hampers the creation of a better world; exacerbates welfare disparities; intensifies disproportionate suffering; sabotages a good life for the less fortunate; blocks equal opportunity; obstructs social justice and equity; erodes inclusivity and diversity; aggravates systemic inequalities; entrenches an uneven playing field; fosters a more divided and unjust society
personal connection,altruism considerations ,pro,strengthens bonds with those in need; deepens empathy and understanding; enhances the quality of assistance; fosters meaningful relationships; nurtures personal connections with beneficiaries; builds a sense of shared purpose and community; promotes trust and mutual support; encourages a sense of belonging and unity; increases the impact of altruistic actions through personal engagement; drives meaningful change in areas that matter personally.
personal connection,altruism considerations ,con,decreases the strength of bonds with those in need; diminishes empathy and understanding; reduces the quality of assistance; undermines the development of meaningful relationships; weakens personal connections with beneficiaries; hinders a sense of shared purpose and community; decreases trust and mutual support; undermines a sense of belonging and unity; limits the impact of altruistic actions through personal engagement; slows down progress in areas that matter personally.
altruism at scale,altruism considerations ,pro,nurtures the welfare of a larger population; enhances the situation in multiple communities; promotes the chances that overall well-being will increase for many; encourages action on problems that impact a wide range of individuals; drives change on a broad scale to benefit numerous people; multiplies the positive effects of altruistic actions; broadens the reach to address issues faced by many; maximizes the potential for widespread improvement; prioritizes projects that can create substantial far-reaching impact; focuses on systemic change that benefits a large number of beneficiaries.
altruism at scale,altruism considerations ,con,neglects the welfare of the broader population; marginalizes wider community needs; curtails widespread well-being enhancements; overlooks issues affecting the minority; confines benefits to a privileged few; constricts the ripple effect of altruistic efforts; shrinks the scope of problem-solving to benefit only some; stifles far-reaching societal progress; bypasses initiatives with significant broad impact; disregards comprehensive systemic reform for greater good
tractability,altruism considerations ,pro,nurtures welfare with more certainty; enhances the situation faster; promotes the chances that overall well-being will increase; encourages action on problems that can actually be solved; advances achievable and measurable progress; drives tangible and practical solutions; focuses on initiatives with clear and feasible plans; prioritizes goals that are within reach; strengthens the ability to gauge success; maximizes the impact through tractable problem-solving.
tractability,altruism considerations ,con,decreases the certainty of nurturing welfare; slows down the enhancement of the situation; reduces the chances of overall well-being increasing; discourages action on problems that can be solved; hampers achievable and measurable progress; hinders tangible and practical solutions; focuses on initiatives with unclear and infeasible plans; deprioritizes goals that are within reach; weakens the ability to gauge success; limits the impact by avoiding tractable problem-solving
altruism neglectedness,altruism considerations ,pro,nurtures welfare in areas that dont receive attention; enhances the achievement of underappreciated goals; promotes working on problems in neglected areas; encourages action on problems that nobody has thought of; advances neglected causes and underserved populations; drives change where mainstream efforts often overlook; prioritizes assistance in areas that lack support; focuses on initiatives that fill gaps in assistance; strengthens the impact in underrepresented regions; maximizes the potential for making a difference in neglected areas.
altruism neglectedness,altruism considerations ,con,decreases the attention to welfare in overlooked areas; diminishes the potential of underappreciated goals; reduces the focus on neglected problems; discourages action on previously unconsidered issues; hampers neglected causes and underserved populations; hinders change where mainstream efforts often overlook; deprioritizes assistance in areas that lack support; avoids initiatives that fill gaps in assistance; weakens the impact in underrepresented regions; minimizes the potential for making a difference in neglected areas
human wellbeing,altruism areas ,pro,enhances quality of life for fellow humans; advances human welfare and prosperity; improves physical and mental health of individuals; supports access to education and healthcare; fosters happiness and wellbeing among people; strengthens the fabric of society; empowers individuals to lead fulfilling lives; nurtures human potential and opportunities; uplifts the overall living standards; promotes human flourishing and contentment.
human wellbeing,altruism areas ,con,diminishes quality of life for fellow humans; undermines human welfare and prosperity; neglects the physical and mental health of individuals; restricts access to education and healthcare; hampers happiness and wellbeing among people; weakens the fabric of society; disempowers individuals from leading fulfilling lives; limits human potential and opportunities; lowers the overall living standards; hinders human flourishing and contentment.
non-human animal welfare,altruism areas ,pro,improves the welfare of non-human animals; safeguards the humane treatment of wildlife and pets; enhances the quality of life for sentient beings; prioritizes the needs and protection of non-human animals; supports the conservation and welfare of vulnerable species; advocates for the rights and dignity of non-human creatures; promotes the well-being of those who have no voice; ensures the safety and security of animals in need; fosters a caring and compassionate approach to non-human animal welfare; dedicates efforts to improving the lives of non-human animals.
non-human animal welfare,altruism areas ,con,diminishes the welfare of non-human animals; neglects the humane treatment of wildlife and pets; lowers the quality of life for sentient beings; prioritizes the interests of non-human animals less; neglects the conservation and welfare of vulnerable species; ignores the rights and dignity of non-human creatures; undermines the well-being of those who have no voice; neglects the safety and security of animals in need; hinders a caring and compassionate approach to non-human animal welfare; neglects efforts to improve the lives of non-human animals.
achieving a better future,altruism areas ,pro,ensures the long-term sustainability of society and the planet; prioritizes actions with enduring benefits for future generations; supports the long-term betterment of society the environment and humanity; addresses challenges that may impact future generations; promotes a sustainable and secure future for all; dedicates efforts to ensuring the well-being of those who have not yet been born; advances the interests of generations to come; fosters a far-sighted and future-focused approach to altruism; invests in a better tomorrow for humanity and the planet; upholds the values of intergenerational equity and responsibility.
achieving a better future,altruism areas ,con,jeopardizes the future of society and the planet; abandons long-lasting benefits for posterity; trivializes the significance of societal environmental and human progress; overlooks threats to forthcoming generations; stalls initiatives aimed at a sustainable legacy; dismisses the prosperity of the unborn; betrays the prospects of future heirs; abandons forward-thinking in philanthropy; withholds contributions to a brighter future for mankind and the earth; spurns the principles of intergenerational justice and stewardship
procedural fairness,fairness ,pro,nurtures transparency and accountability in decision-making; enhances inclusivity in processes; promotes working on problems in an equitable manner; encourages the elimination of blind spots; advances fair and inclusive decision-making; drives collective involvement in decision processes; prioritizes rules and procedures for resource allocation; focuses on fairness and inclusivity in various domains; strengthens transparent and accountable processes; maximizes fairness in decision-making.
procedural fairness,fairness ,con,decreases transparency and accountability in decision-making; diminishes inclusivity in processes; reduces equity in addressing problems; discourages the elimination of blind spots; hampers fair and inclusive decision-making; hinders collective involvement in decision processes; deprioritizes rules and procedures for resource allocation; avoids fairness and inclusivity in various domains; weakens transparent and accountable processes; minimizes fairness in decision-making.
distributive fairness,fairness ,pro,promotes fairness and justice in resource allocation; supports equitable distribution in various domains; ensures equal opportunities and outcomes for all; addresses historical disparities and injustices; advocates for everyones fair share; cultivates shared responsibility for resource allocation; nurtures a fair and equitable society; drives just resource distribution; encourages fairness advocacy; upholds justice and equality in resource allocation.
distributive fairness,fairness ,con,decreases fairness and justice in resource allocation; undermines equitable distribution in various domains; limits equal opportunities and outcomes for all; perpetuates historical disparities and injustices; neglects advocacy for everyones fair share; weakens shared responsibility for resource allocation; hampers a fair and equitable society; hinders just resource distribution; discourages fairness advocacy; undermines justice and equality in resource allocation.
reciprocal fairness,fairness ,pro,fosters a sense of trust and reliability in relationships; encourages cooperation and collaboration among individuals; strengthens social bonds and community cohesion; reinforces a sense of reciprocity in interactions; promotes a culture of fairness and even-handed treatment; builds a foundation for ethical and moral behavior; bolsters a shared commitment to treating others with respect; cultivates a supportive and harmonious social environment; nurtures a cycle of positive and equitable interactions; advances the concept of fairness as a two-way street.
reciprocal fairness,fairness ,con,decreases trust and reliability in relationships; undermines cooperation and collaboration among individuals; weakens social bonds and community cohesion; disrupts the sense of reciprocity in interactions; erodes a culture of fairness and even-handed treatment; undermines the foundation for ethical and moral behavior; hampers a shared commitment to treating others with respect; hinders a supportive and harmonious social environment; diminishes the cycle of positive and equitable interactions; diminishes the concept of fairness as a two-way street.
